Comment,Type,Predicted_Type
如果你不喜欢这部电影说明他不是为你准备的故事的终章是为读过故事的人准备的,好评,na
我是一个90后我曾经很羡慕上一代人40年前的观众他们的影院里有星战正传三部曲的落幕20年前的观众能在影院里看到指环王系列的终章影迷们的悲欢并不相通但现在我们也有了共同的记忆漫威电影宇宙谢谢你复仇者联盟,好评,na
"托尼说好要回归家庭陪伴家人可最终还是选择了重出江湖因为责任和使命因为我是钢铁侠
美队曾经错过了和卡特的约会错过陪伴卡特的70年后来又出席卡特的葬礼亲自送挚爱上路感谢导演给了他一个完美的结局
黑寡妇高尚豪迈英勇无畏和钢铁侠并列最伟大的复仇者
雷神和母亲好好告别托尼和父亲握手言和让人热泪盈眶
美队弥补了一生中最大的遗憾
班纳和浩克和解
鹰眼与家人团聚
黑寡妇没有家人因为复仇者就是她的家人
结局太完美也太催泪了
复联3化灰英雄集体回归的一幕气势磅礴荡气回肠规模相比复联3提高了至少五倍
尤其是妇联出场太惊艳了完美诠释女性力量
十一年布局22部电影在复联4画上圆满的句号
借用摩根史塔克的话漫威我爱你三千遍",好评,na
钢铁侠成为了美队美队活成了钢铁侠,好评,na
谁能想到是一只老鼠拯救了地球呢,好评,na
献给我人生中最美好的十一年谢谢你漫威谢谢你让我的青春有了一个最完美的结局,好评,na
五星全给黑寡妇她是最伟大的复仇者,好评,na
"I AM IRONMAN 
既是开始也是结束谢谢钢铁侠谢谢漫威给我们带来的欢笑泪水感动以及爱你的3000个日日夜夜",好评,na
I AM IRONMAN,好评,na
凡人之躯 比肩神明 最后真的泪目,好评,na
用三个小时的时间与大家告别是集结是重聚是告别是牺牲作为系列的最终篇确实已经努力做到最好了有笑点有泪点也有燃点这个世代结束了下个世代再会,好评,na
搞不懂惊队吹这么久是为什么啥感觉就是打了个酱油,好评,na
对某人而言这就叫有始有终吧这个时代的星战90后终于有长达十年的情怀和回忆了说了几句真话被人攻击改的评论,好评,na
I love you three thousand times,好评,na
"不剧透说一下我看复联4的经历
为了看复联4的零点场我平时省吃俭用终于抢到了几百块钱的皇帝座晚上还要翻墙出学校去电影院看完了以后还要早起去上课为了看复联4我也是拼了
此生无悔入漫威",好评,na
我有一个疑问一切回到五年前又不改变这五年发生的一切那么问题来了那些失去妻子或者丈夫的又重新与别人相爱了现在原配回来了这怎么处理呀,好评,na
"其实开头是一起宝石引发的血案农民灭伯伯正在煮东西吃被一帮亡命之徒闯入还没有反应过来被大腹便便男子一斧头砍断手最后被一群不法分子围殴致死太惨了
Great job for Marvel Studios 如同魔戒一样悲喜交加结局才是最完美的完结就是要疯狂致敬某公司给我好好看好好学如何用22部电影铺垫一位史诗角色的陨落这才叫生的光荣死得其所而不是直接把王炸甩出去Avengers4商业成功让所有的漫改电影都黯然失色MCU成功继承了21世纪初XCU和TDK的衣钵将美漫文化发扬光大作为历史最成功的超级反派灭霸罗素兄弟和凯文费奇居功至伟MCU发展历程就如同一个屌丝逆袭为高富帅在好莱坞这片神奇地方英雄不问出处MCU宇宙毫无疑问称得上其他电影宇宙学习借鉴的一个标杆尺度",好评,na
队长与爱人横亘七十年不能共舞蚁人与女儿分隔五年未能相见钢铁侠邂逅父亲期盼新生雷神遇见母亲不忍分别时间会给爱情设置衰老的考验给生命带来变化的乐趣会让未尽千言凝成一个拥抱让遗憾万般聚成一场话别天神拥有肉身超能沦为凡胎你是一千四百万分之一的胜利是三千遍仍未尽的爱,好评,na
我爱 小罗伯特唐尼  克里斯埃文斯  克里斯海姆斯沃斯  杰瑞米雷纳  马克鲁弗洛  斯嘉丽约翰逊  以及漫威所有的人十年青春感谢有你此生不悔,好评,na
复仇者联盟4全员蚁人,好评,na
七刷午夜场首映观毕全场掌声雷动肆意狂欢私心完美的史诗终结篇但内心却是七荤八素五味杂陈在这一刻情怀可以暂时性的战胜一切是一次总结也更像是一次酝酿许久的毕业巡礼热血呐喊震撼共鸣感动不舍与怀念11年22部电影积累的所有按耐已久的情绪这在一刻得到彻底的释放与宣泄多年来一切独属于漫威的记忆犹如昨日重现历历在目感谢漫威给了我们广大超英影迷最美好最弥足珍贵的十年每段旅程都有终点辉煌永存过去未来来日可期传奇暂时靠岸停歇但故事远远没有结束期待下一个十年甚至是二十年来日方长不说再见～,好评,na
用多线剧情给自己过去的十年做总结漫威这波操作很官方了虽然有几处戳泪的剧情节点也算不破不立吧看看后半段大战里那些眼花缭乱的角色感觉轻轻松松再拍个十年也没啥大问题处处透露着一边给你递纸巾一边给你展望未来蓝图的野心不过上一部仓促登场的惊奇队长有点保存实力的意思大部分高光时刻都给了初代六位角色与过去告别观众与角色告别也算是非常好的谢幕了不少段落的怀旧范儿也很深得我心包括对之前十年剧情的回溯另外结合复联3来看灭霸也算是超英电影里诞生的又一个非典型反派动机太哲学了这魅力都快赶上隔壁小丑就是造型输点儿明显比以往大奸大恶的单细胞反派高出几个等级给特写的时候差点给人看哭了有点壮志未酬的悲情总之站在他角度看完全又是另一番滋味漫威不拍一部灭霸传着实可惜了,好评,na
"始于钢铁侠终于钢铁侠
晚安我爱你三千遍",好评,na
一定要刷IMAX版在被雷神妈妈多吃点儿素和傲娇蚁人你才在重复说你说过的话你才等段子逗乐之余复联4带我们漂泊于理智与情感的回忆长河从第一秒就注定感伤黑寡妇如果你让我积极的面对生活我就把三明治砸你脸上鹰眼不要给我希望雷神生命中唯一的永恒就是生命的无常钢铁侠你玩弄时间时间就会玩弄你队长 ta有家人吗 有吧就是我们了止不住的热泪盈眶只要有人牵挂过去就不会接受未来 十年前钢铁侠出来时的惊艳远远没想到它只是一个小开始漫威宇宙大到让人猝不及防看这部的时候在想再过10年30年这里面的英雄成为过去和经典再回忆会是怎样的感慨万千再见了超级英雄~,好评,na
